form	lemma	POS	morph	treated_token
Mirabilia	mirabilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	mirabilia
testimonia	testimonium	NOMcom	Case=Nom|Numb=Plur	testimonia
tua	tuus	PROpos	Case=Acc|Numb=Plur	tua
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Natura	natura	NOMcom	Case=Nom|Numb=Sing	natura
humani	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humani
sensus	sensus	NOMcom	Case=Gen|Numb=Sing	sensus
ea	is	PROdem	Case=Nom|Numb=Sing	ea
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
ea	is	PROdem	Case=Acc|Numb=Plur	ea
mirabilia	mirabilis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	mirabilia
habeat	habeo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	habeat
quae	qui1	PROrel	Case=Acc|Numb=Plur	quae
ante	ante1	ADV	Deg=Pos	ante
conpererit	comperio	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	conpererit
.	.	PUNC	MORPH=empty	.
ex	ex	PRE	MORPH=empty	ex
conpertis	comperio	NOMcom	Case=Abl|Numb=Plur	conpertis
enim	enim2	CONcoo	MORPH=empty	enim
iudicium	iudicium	NOMcom	Case=Acc|Numb=Sing	iudicium
admirationis	admiratio	NOMcom	Case=Gen|Numb=Sing	admirationis
exsistit	exsisto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	exsistit
.	.	PUNC	MORPH=empty	.
ceterum	ceterum2	ADV	Deg=Pos	ceterum
nemo	nemo	PROind	Case=Nom|Numb=Sing	nemo
poterit	possum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	poterit
ignorata	ignoro	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	ignorata
mirari	miror	VER	Mood=Inf|Tense=Pres|Voice=Dep	mirari
.	.	PUNC	MORPH=empty	.
haec	hic1	PROdem	Case=Nom|Numb=Plur	haec
idcirco	idcirco	ADV	Deg=Pos	idcirco
antea	antea	ADV	Deg=Pos	antea
commemorata	commemoro	VER	Case=Nom|Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass	commemorata
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
ut	ut4	CONsub	MORPH=empty	ut
diligentius	diligenter	ADV	Deg=Comp	diligentius
dicti	dico?	VER	Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	dicti
prophetici	propheticus	NOMcom	Case=Nom|Numb=Sing	prophetici
ratio	ratio	NOMcom	Case=Nom|Numb=Sing	ratio
quaereretur	quaero	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3	quaereretur
.	.	PUNC	MORPH=empty	.
contra	contra2	PRE	MORPH=empty	contra
opinionem	opinio	NOMcom	Case=Acc|Numb=Sing	opinionem
enim	enim2	CONcoo	MORPH=empty	enim
generalis	generalis	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	generalis
sensus	sensus	NOMcom	Case=Acc|Numb=Plur	sensus
dixisse	dico?	VER	Mood=Inf|Tense=Perf|Voice=Act	dixisse
haec	hic1	PROdem	Case=Acc|Numb=Plur	haec
existimatur	existimo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	existimatur
mirabilia	mirabilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	mirabilia
testimonia	testimonium	NOMcom	Case=Nom|Numb=Plur	testimonia
tua	tuus	PROpos	Case=Acc|Numb=Plur	tua
;	;	PUNC	MORPH=empty	;
ideo	ideo	ADV	Deg=Pos	ideo
scrutata	scrutor	VER	Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep	scrutata
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
anima	anima	NOMcom	Case=Nom|Numb=Sing	anima
mea	meus	PROpos	Case=Nom|Numb=Sing	mea
.	.	PUNC	MORPH=empty	.
nam	nam	CONcoo	MORPH=empty	nam
cum	cum3	CONsub	MORPH=empty	cum
prius	prius	ADJadv.ord	Deg=Comp	prius
secundum	secundum2	PRE	MORPH=empty	secundum
humanam	humanus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	humanam
consuetudinem	consuetudo	NOMcom	Case=Acc|Numb=Sing	consuetudinem
oporteat	oportet	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	oporteat
perscrutari	perscrutor	VER	Mood=Inf|Tense=Pres|Voice=Dep	perscrutari
et	et2	CONcoo	MORPH=empty	et
reperire	reperio	VER	Mood=Inf|Tense=Pres|Voice=Act	reperire
et	et2	CONcoo	MORPH=empty	et
reperta	reperio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	reperta
mirari	miror	VER	Mood=Inf|Tense=Pres|Voice=Dep	mirari
huic	hic1	PROdem	Case=Dat|Numb=Sing	huic
testimonia	testimonium	NOMcom	Case=Nom|Numb=Plur	testimonia
domini	dominus	NOMcom	Case=Gen|Numb=Sing	domini
ante	ante1	ADV	Deg=Pos	ante
admirabilia	admirabilis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	admirabilia
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
et	et2	CONcoo	MORPH=empty	et
ob	ob	PRE	MORPH=empty	ob
id	is	PROdem	Case=Acc|Numb=Sing	id
perscrutatio	perscrutatio	NOMcom	Case=Nom|Numb=Sing	perscrutatio
-ne	ne2	CONcoo	MORPH=empty	-ne
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
digna	dignus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	digna
.	.	PUNC	MORPH=empty	.
dicti	dico?	VER	Case=Nom|Numb=Plur|Tense=Perf|Voice=Pass	dicti
autem	autem	CONcoo	MORPH=empty	autem
huius	hic1	PROdem	Case=Gen|Numb=Sing	huius
perfecti	perfectus2	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	perfecti
et	et2	CONcoo	MORPH=empty	et
pulcherrimi	pulcher	ADJqua	Case=Gen|Numb=Sing|Deg=Sup	pulcherrimi
ea	is	PROdem	Case=Nom|Numb=Sing	ea
ratio	ratio	NOMcom	Case=Nom|Numb=Sing	ratio
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
testimonia	testimonium	NOMcom	Case=Nom|Numb=Plur	testimonia
etenim	etenim	CONcoo	MORPH=empty	etenim
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
id	is	PROdem	Case=Nom|Numb=Sing	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ea	is	PROdem	Case=Nom|Numb=Plur	ea
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
sub	sub	PRE	MORPH=empty	sub
testibus	testis?	NOMcom	Case=Abl|Numb=Plur	testibus
scripta	scribo	VER	Case=Nom|Numb=Plur|Voice=Pass	scripta
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
etiamsi	etiamsi	CONsub	MORPH=empty	etiamsi
per	per	PRE	MORPH=empty	per
obseruantiam	obseruantia	NOMcom	Case=Acc|Numb=Sing	obseruantiam
legis	lex	NOMcom	Case=Gen|Numb=Sing	legis
humanam	humanus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	humanam
infirmitatem	infirmitas	NOMcom	Case=Acc|Numb=Sing	infirmitatem
ad	ad2	PRE	MORPH=empty	ad
cognitionem	cognitio	NOMcom	Case=Acc|Numb=Sing	cognitionem
et	et2	CONcoo	MORPH=empty	et
famulatum	famulatus	NOMcom	Case=Acc|Numb=Sing	famulatum
dei	deus	NOMcom	Case=Gen|Numb=Plur	dei
inbuant	imbuo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	inbuant
quippe	quippe2	CONcoo	MORPH=empty	quippe
ubi	ubi3	CONsub	MORPH=empty	ubi
castitas	castitas	NOMcom	Case=Nom|Numb=Sing	castitas
pietas	pietas	NOMcom	Case=Nom|Numb=Sing	pietas
pudicitia	pudicitia	NOMcom	Case=Nom|Numb=Sing	pudicitia
caritas	caritas	NOMcom	Case=Nom|Numb=Sing	caritas
ueritas	ueritas	NOMcom	Case=Nom|Numb=Sing	ueritas
innocentia	innocentia	NOMcom	Case=Nom|Numb=Sing	innocentia
frugalitas	frugalitas	NOMcom	Case=Nom|Numb=Sing	frugalitas
et	et2	CONcoo	MORPH=empty	et
religio	religio	NOMcom	Case=Nom|Numb=Sing	religio
mandatur	mando?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	mandatur
et	et2	CONcoo	MORPH=empty	et
per	per	PRE	MORPH=empty	per
quasdam	quidam	PROind	Case=Acc|Numb=Plur	quasdam
religionum	religio	NOMcom	Case=Gen|Numb=Plur	religionum
consuetudines	consuetudo	NOMcom	Case=Nom|Numb=Plur	consuetudines
hostiarum	hostia	NOMcom	Case=Gen|Numb=Plur	hostiarum
-que	que	CONcoo	MORPH=empty	-que
diuersitates	diuersitas	NOMcom	Case=Nom|Numb=Plur	diuersitates
diuini	diuinus2	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	diuini
honoris	honor	NOMcom	Case=Gen|Numb=Sing	honoris
officium	officium	NOMcom	Case=Nom|Numb=Sing	officium
praecipitur	praecipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	praecipitur
in	in	PRE	MORPH=empty	in
quibus	qui1	PROrel	Case=Abl|Numb=Plur	quibus
cum	cum3	CONsub	MORPH=empty	cum
admiratio	admiratio	NOMcom	Case=Nom|Numb=Sing	admiratio
magna	magnus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	magna
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
pro	pro1	PRE	MORPH=empty	pro
peccatis	peccatum	NOMcom	Case=Abl|Numb=Plur	peccatis
oblata	offero	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	oblata
hostia	hostia	NOMcom	Case=Nom|Numb=Sing	hostia
et	et2	CONcoo	MORPH=empty	et
datum	do	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	datum
pro	pro1	PRE	MORPH=empty	pro
redemptio	redemptio	NOMcom	Case=Abl|Numb=Sing	redemptio
-ne	ne2	CONcoo	MORPH=empty	-ne
animse	animse	ADV	Deg=Pos	animse
munus	munus	NOMcom	Case=Nom|Numb=Sing	munus
et	et2	CONcoo	MORPH=empty	et
agnus	agnus	NOMcom	Case=Nom|Numb=Sing	agnus
in	in	PRE	MORPH=empty	in
sacramento	sacramentum	NOMcom	Case=Abl|Numb=Sing	sacramento
paschae	pascha	NOMcom	Case=Gen|Numb=Sing	paschae
occisus	occido?	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	occisus
tamen	tamen	ADV	Deg=Pos	tamen
in	in	PRE	MORPH=empty	in
his	hic1	PROdem	Case=Abl|Numb=Plur	his
plus	multum2	ADV	Deg=Comp	plus
ex	ex	PRE	MORPH=empty	ex
futurorum	futurum	NOMcom	Case=Gen|Numb=Plur	futurorum
spe	spes	NOMcom	Case=Abl|Numb=Sing	spe
atque	atque1	CONcoo	MORPH=empty	atque
doctrina	doctrina	NOMcom	Case=Abl|Numb=Sing	doctrina
admirationis	admiratio	NOMcom	Case=Gen|Numb=Sing	admirationis
continetur	contineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	continetur
.	.	PUNC	MORPH=empty	.
haec	hic1	PROdem	Case=Nom|Numb=Plur	haec
itaque	itaque	CONcoo	MORPH=empty	itaque
prophetae	prophetus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	prophetae
huic	hic1	PROdem	Case=Dat|Numb=Sing	huic
admirabilia	admirabilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	admirabilia
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
quia	quia	CONsub	MORPH=empty	quia
per	per	PRE	MORPH=empty	per
praesentem	praesens	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	praesentem
admirationem	admiratio	NOMcom	Case=Acc|Numb=Sing	admirationem
futurorum	futurum	NOMcom	Case=Gen|Numb=Plur	futurorum
atque	atque1	CONcoo	MORPH=empty	atque
aeternorum	aeternus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	aeternorum
bonorum	bonum	NOMcom	Case=Gen|Numb=Plur	bonorum
exemplaribus	exemplar	NOMcom	Case=Dat|Numb=Plur	exemplaribus
admirabilia	admirabilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	admirabilia
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
perscrutatur	perscrutor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	perscrutatur
ea	is	PROdem	Case=Nom|Numb=Sing	ea
.	.	PUNC	MORPH=empty	.
non	non	ADVneg	MORPH=empty	non
inquirit	inquiro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	inquirit
tantummodo	tantummodo	ADV	Deg=Pos	tantummodo
in	in	PRE	MORPH=empty	in
quo	qui1	PROrel	Case=Abl|Numb=Sing	quo
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
rerum	res	NOMcom	Case=Gen|Numb=Plur	rerum
absconditarum	absconditus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	absconditarum
diligens	diligens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	diligens
exquisitio	exquisitio	NOMcom	Case=Nom|Numb=Sing	exquisitio
;	;	PUNC	MORPH=empty	;
sed	sed	CONcoo	MORPH=empty	sed
perscrutatur	perscrutor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	perscrutatur
etiam	etiam	ADV	Deg=Pos	etiam
per	per	PRE	MORPH=empty	per
adiectionem	adiectio	NOMcom	Case=Acc|Numb=Sing	adiectionem
scilicet	scilicet	ADV	Deg=Pos	scilicet
diligentioris	diligens	ADJqua	Case=Gen|Numb=Sing|Deg=Comp	diligentioris
exquisitionis	exquisitio	NOMcom	Case=Gen|Numb=Sing	exquisitionis
laborem	labor1	NOMcom	Case=Acc|Numb=Sing	laborem
suum	suus	PROpos.ref	Case=Acc|Numb=Sing	suum
in	in	PRE	MORPH=empty	in
perscrutatio	perscrutatio	NOMcom	Case=Abl|Numb=Sing	perscrutatio
-ne	ne2	CONcoo	MORPH=empty	-ne
demonstrans	demonstro	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	demonstrans
.	.	PUNC	MORPH=empty	.
neque	neque	CONcoo	MORPH=empty	neque
tantummodo	tantummodo	ADV	Deg=Pos	tantummodo
perscrutatur	perscrutor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	perscrutatur
sed	sed	CONcoo	MORPH=empty	sed
perscrutatur	perscrutor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	perscrutatur
ex	ex	PRE	MORPH=empty	ex
anima	anima	NOMcom	Case=Abl|Numb=Sing	anima
ad	ad2	PRE	MORPH=empty	ad
uoluntatis	uoluntas	NOMcom	Case=Gen|Numb=Sing	uoluntatis
officium	officium	NOMcom	Case=Acc|Numb=Sing	officium
animae	anima	NOMcom	Case=Gen|Numb=Sing	animae
intentio	intentio	NOMcom	Case=Nom|Numb=Sing	intentio
-ne	ne2	CONcoo	MORPH=empty	-ne
sociata	socio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3	sociata
.	.	PUNC	MORPH=empty	.
Sequitur	sequor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	sequitur
deinde	deinde	ADV	Deg=Pos	deinde
declaratio	declaratio	NOMcom	Case=Nom|Numb=Sing	declaratio
sermonum	sermo	NOMcom	Case=Gen|Numb=Plur	sermonum
tuorum	tuus	PROpos	Case=Gen|Numb=Plur	tuorum
inluminat	illumino	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	inluminat
et	et2	CONcoo	MORPH=empty	et
intellectum	intellectus	NOMcom	Case=Acc|Numb=Sing	intellectum
dat	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	dat
paruulis	paruulus	ADJqua	Case=Dat|Numb=Plur|Deg=Pos	paruulis
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
hic	hic1	PROdem	Case=Nom|Numb=Sing|Deg=Pos	hic
quoque	quoque	ADV	Deg=Pos	quoque
sermo	sermo	NOMcom	Case=Nom|Numb=Sing	sermo
forte	forte	ADV	Deg=Pos	forte
uidetur	uideo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	uidetur
a	ab	PRE	MORPH=empty	a
naturae	natura	NOMcom	Case=Gen|Numb=Sing	naturae
nostrae	noster	PROpos	Case=Gen|Numb=Sing	nostrae
consuetudi	consuetudo	VER	Case=Nom|Numb=Sing|Deg=Pos	consuetudi
-ne	ne2	CONcoo	MORPH=empty	-ne
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
diuersus	diuersus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	diuersus
.	.	PUNC	MORPH=empty	.
cum	cum3	CONsub	MORPH=empty	cum
enim	enim2	CONcoo	MORPH=empty	enim
ante	ante1	ADV	Deg=Pos	ante
intellegendum	intelligo	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	intellegendum
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
et	et2	CONcoo	MORPH=empty	et
sic	sic	ADV	Deg=Pos	sic
lumine	lumen	NOMcom	Case=Abl|Numb=Sing	lumine
intellegentise	intelligente	ADJqua	Deg=Pos	intellegentise
utendum	utor	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Dep	utendum
quia	quia	CONsub	MORPH=empty	quia
noctem	nox	NOMcom	Case=Acc|Numb=Sing	noctem
ignorantiae	ignorantia	NOMcom	Case=Gen|Numb=Sing	ignorantiae
intellegentiae	intelligentia	NOMcom	Case=Gen|Numb=Sing	intellegentiae
adeptae	adipiscor	VER	Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep	adeptae
lumen	lumen	NOMcom	Case=Acc|Numb=Sing	lumen
apellat	apello	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	apellat
propheta	prophetus	VER	Case=Nom|Numb=Sing	propheta
tamen	tamen	ADV	Deg=Pos	tamen
dicit	dico?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	dicit
declarationem	declaratio	NOMcom	Case=Acc|Numb=Sing	declarationem
uerborum	uerbum	NOMcom	Case=Gen|Numb=Plur	uerborum
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
prius	prius	ADJadv.ord	Deg=Comp	prius
inluminare	illumino	VER	Mood=Inf|Tense=Pres|Voice=Act	inluminare
et	et2	CONcoo	MORPH=empty	et
post	post2	PRE	MORPH=empty	post
inluminationem	illuminatio	NOMcom	Case=Acc|Numb=Sing	inluminationem
intellegentiam	intelligentia	NOMcom	Case=Acc|Numb=Sing	intellegentiam
praestare	praesto1	VER	Mood=Inf|Tense=Pres|Voice=Act	praestare
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
quse	quis1	PROint	Case=Nom|Numb=Sing	quse
sint	sum1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sint
dei	deus	NOMcom	Case=Gen|Numb=Plur	dei
uerba	uerbum	NOMcom	Case=Nom|Numb=Plur	uerba
ante	ante1	ADV	Deg=Pos	ante
discendum	disco	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	discendum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
;	;	PUNC	MORPH=empty	;
et	et2	CONcoo	MORPH=empty	et
tunc	tunc	ADV	Deg=Pos	tunc
inluminationis	illuminatio	NOMcom	Case=Gen|Numb=Sing	inluminationis
ac	ac1	CONcoo	MORPH=empty	ac
postea	postea	ADV	Deg=Pos	postea
intellegentiae	intelligentia	NOMcom	Case=Gen|Numb=Sing	intellegentiae
ratio	ratio	NOMcom	Case=Nom|Numb=Sing	ratio
praestanda	praesto1	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	praestanda
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
uerba	uerbum	NOMcom	Case=Nom|Numb=Plur	uerba
dei	deus	NOMcom	Case=Nom|Numb=Plur	dei
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
quaecumque	quicumque1	PROrel	Case=Nom|Numb=Plur	quaecumque
prophetae	prophetus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	prophetae
locuti	loquor	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep	locuti
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
.	.	PUNC	MORPH=empty	.
cum	cum3	CONsub	MORPH=empty	cum
enim	enim2	CONcoo	MORPH=empty	enim
Moyses	moyses	NOMcom	Case=Nom|Numb=Sing	moyses
uerbis	uerbum	NOMcom	Case=Abl|Numb=Plur	uerbis
suis	suus	PROpos.ref	Case=Abl|Numb=Plur	suis
populo	populus?	NOMcom	Case=Dat|Numb=Sing	populo
Hebrseo	hebrieus	VER	Case=Abl|Numb=Sing	hebrseo
legis	lex	NOMcom	Case=Gen|Numb=Sing	legis
