Auteur	Nombre de textes	Nombre de passages	Nombre de mots	Médiane de taille de passage	Moyenne de taille de passage
urn:cts:latinLit:stoa0247	1	3	16475	5724.0	5491.66666667
Anonymous	1	79	3135	29.0	39.6835443038
Adomnan d'Iona 	1	3	11094	4326.0	3698.0
Aetna	1	1	4188	4188.0	4188.0
Ambroise	17	70	517936	6675.5	7399.08571429
Ambrosiaster	2	3	96418	9032.0	32139.3333333
Ammien Marcellin	1	20	127565	6690.5	6378.25
Apulée	3	13	83905	4839.0	6454.23076923
Arnobe	1	7	66003	9103.0	9429.0
Augustin	67	524	2138992	1195.5	4082.04580153
Aulu-Gelle	1	21	121602	5518.0	5790.57142857
Ausone	26	336	43450	51.5	129.31547619
Bede the Venerable, Saint 673-735	1	1	3857	3857.0	3857.0
Boèce	9	22	125162	5435.0	5689.18181818
Breviarius de Hierosolyma	1	1	541	541.0	541.0
Calpurnius Siculus	1	7	5045	665.0	720.714285714
Carmen de martyrio Maccabaeorum	1	1	2643	2643.0	2643.0
Catholic Church Pope	2	252	153059	268.5	607.376984127
Celse	3	24	309506	12493.5	12896.0833333
Cicéron	44	1009	976178	243.0	967.470763132
Claudien	14	83	59226	110.0	713.56626506
Claudien Mamert	2	8	36625	1965.5	4578.125
Claudius Marius Victor	1	3	12228	3617.0	4076.0
Columelle	1	9	78955	9148.0	8772.77777778
Commodien	2	81	15875	104.0	195.987654321
Cornélis Népos	25	25	27882	740.0	1115.28
Cyprien	15	98	153236	710.0	1563.63265306
Cyprien le poète	1	8	34620	4238.0	4327.5
César	1	8	51294	5973.0	6411.75
Ennode	13	194	106077	47.0	546.788659794
Epitaphe d'Ennode	1	1	111	111.0	111.0
Eucher de Lyon	5	6	34369	3831.5	5728.16666667
Eugippius	3	3	238669	10679.0	79556.3333333
Evagre le moine	1	1	6719	6719.0	6719.0
Evode	1	1	7200	7200.0	7200.0
Fauste de Riez	5	24	73852	715.5	3077.16666667
Filastre de Brescia	1	1	27519	27519.0	27519.0
Firmicus Maternus, Julius	1	1	13709	13709.0	13709.0
Flavius Josèphe	1	2	21042	10521.0	10521.0
Florus	1	82	26367	189.0	321.548780488
Hilaire	9	122	226968	1535.5	1860.39344262
Hilaire d'Arles	1	1	110	110.0	110.0
Histoire Auguste	30	30	108102	2835.5	3603.4
Horace	6	162	43823	136.0	270.512345679
Isidore de Séville	1	489	167866	154.0	343.284253579
Jean Cassien	3	48	220473	4931.5	4593.1875
Juvencus	1	5	19736	4720.0	3947.2
Juvénal	1	16	25054	1238.0	1565.875
Jérôme	5	180	415320	974.5	2307.33333333
Lactance	8	15	171892	14933.0	11459.4666667
Laus Pisonis	1	1	1687	1687.0	1687.0
Lucifer de Cagliari	6	14	88470	880.0	6319.28571429
Lucrèce	1	6	49028	8094.5	8171.33333333
Macrobe	1	7	78059	10334.0	11151.2857143
Martial	1	1527	56284	26.0	36.8592010478
Mavortius	1	1	878	878.0	878.0
Minucius Felix	2	2	23223	11611.5	11611.5
Novatianus	1	1	20397	20397.0	20397.0
Optat de Milève	2	2	42660	21330.0	21330.0
Orens d'Auch / Orientius	3	8	8145	357.0	1018.125
Orose	3	9	87250	10507.0	9694.44444444
Ovide	10	197	218646	417.0	1109.87817259
Paul de Tarse	1	2	1665	832.5	832.5
Paulin de Nole	2	94	155562	1123.5	1654.91489362
Paulin de Pella	1	2	4232	2116.0	2116.0
Paulin de Périgueux	3	9	22827	2785.0	2536.33333333
Plaute	19	19	162242	8132.0	8539.05263158
Pline l'Ancien	1	37	416781	10198.0	11264.3513514
Pline le Jeune	1	371	65805	108.0	177.371967655
Pomponius	1	1	933	933.0	933.0
Ponthius le Diacre (De Carthage)	2	2	5052	2526.0	2526.0
Priscillien	2	12	23370	1714.0	1947.5
Proba	1	2	4986	2493.0	2493.0
Properce	1	105	25383	209.0	241.742857143
Prudence	9	40	58404	712.0	1460.1
Pseudo Cyprien	18	26	69323	2024.5	2666.26923077
Pseudo Sulpice-Sévère	1	7	7811	314.0	1115.85714286
Pseudo-Hilarius	2	2	2030	1015.0	1015.0
Pseudo-Tertullien	3	3	4341	1092.0	1447.0
Pèlerin de Bordeaux	1	1	3547	3547.0	3547.0
Pélerin de Plaisance	2	2	11752	5876.0	5876.0
Quinte-Curce	1	8	74259	8815.5	9282.375
Quintilien	1	13	171964	13155.0	13228.0
Quintus Tullius Cicero	1	1	4356	4356.0	4356.0
Rufin d'Aquilée	1	4	23629	3732.0	5907.25
Rurice de Limoges	1	91	20224	187.0	222.241758242
Rusticus	1	1	291	291.0	291.0
Salluste	5	10	67931	872.0	6793.1
Salvien de Marseille	4	23	72349	1911.0	3145.60869565
Secundinus	1	1	1719	1719.0	1719.0
Silius Italicus	1	17	76675	4353.0	4510.29411765
Stace	3	52	94815	718.0	1823.36538462
Sulpice-Sévère	4	36	49021	253.0	1361.69444444
Suétone	12	12	70358	5040.5	5863.16666667
Sédulius	8	20	35284	1527.5	1764.2
Sénèque	23	269	192888	192.0	717.055762082
Sénèque le Père	4	20	98114	2087.0	4905.7
Tacite	3	7	63748	11221.0	9106.85714286
Tertullien	47	58	562467	7485.5	9697.70689655
Theodosius archidiaconus	1	1	2514	2514.0	2514.0
Tibulle	2	43	12609	171.0	293.23255814
Térence	6	6	41888	6915.0	6981.33333333
Valerius Flaccus	1	8	37184	4768.5	4648.0
Valère Maxime	1	9	79910	8866.0	8878.88888889
Victor de Vita	3	6	22481	2590.0	3746.83333333
Victorin de Poetovio	2	2	19717	9858.5	9858.5
Virgile	3	26	83680	3678.0	3218.46153846
Vitruve	1	10	58227	5923.5	5822.7
Égérie	1	1	17546	17546.0	17546.0
Rutilius Namatianus	1	2	3977	1988.5	1988.5
Valerius Paterculus	1	2	26148	13074.0	13074.0
